wind_code,name,family,category,is_active,priority,is_concept,view_key,view_label,notes
857355.SI,光伏加工设备,sw_l3,申万三级行业指数,true,9312,false,sw_l3,申万三级,
857361.SI,风电整机,sw_l3,申万三级行业指数,true,9311,false,sw_l3,申万三级,
857362.SI,风电零部件,sw_l3,申万三级行业指数,true,9310,false,sw_l3,申万三级,
857371.SI,锂电池,sw_l3,申万三级行业指数,true,9309,false,sw_l3,申万三级,
857372.SI,电池化学品,sw_l3,申万三级行业指数,true,9308,false,sw_l3,申万三级,
857373.SI,锂电专用设备,sw_l3,申万三级行业指数,true,9307,false,sw_l3,申万三级,
857374.SI,燃料电池,sw_l3,申万三级行业指数,true,9306,false,sw_l3,申万三级,
857375.SI,蓄电池及其他电池,sw_l3,申万三级行业指数,true,9305,false,sw_l3,申万三级,
857381.SI,输变电设备,sw_l3,申万三级行业指数,true,9304,false,sw_l3,申万三级,
857382.SI,配电设备,sw_l3,申万三级行业指数,true,9303,false,sw_l3,申万三级,
857321.SI,电网自动化设备,sw_l3,申万三级行业指数,true,9302,false,sw_l3,申万三级,
857323.SI,电工仪器仪表,sw_l3,申万三级行业指数,true,9301,false,sw_l3,申万三级,
857344.SI,线缆部件及其他,sw_l3,申万三级行业指数,true,9300,false,sw_l3,申万三级,
